[   54767ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   55005ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   55153ms] [WARNING] %c%s%c ⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3000". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  785141ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  786150ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  787152ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  788153ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  789156ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  794160ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  799175ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  804191ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  809226ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  814275ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  819348ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  824565ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=db0Qhs7Al9ULgdh882GT1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
